arxiv_id,authors,title,abstract,category
arXiv:2308.14387,Pavan A. Uttarkar et al.,Searching for the spectral depolarisation of ASKAP one-off FRB sources,"Fast Radio Bursts (FRBs) are extragalactic transients of (sub-)millisecond duration that show wide-ranging spectral, temporal, and polarimetric properties. The polarimetric analysis of FRBs can be used to probe intervening media, study the emission mechanism, and test possible progenitor models. In particular, low frequency depolarisation of FRBs can identify dense, turbulent, magnetised, ionised plasma thought to be near the FRB progenitor. An ensemble of repeating FRBs has shown low-frequency depolarisation. The depolarisation is quantified by the parameter $\sigma_{\rm RM}$, which correlates with proxies for both the turbulence and mean magnetic field strength of the putative plasma. However, while many non-repeating FRBs show comparable scattering (and hence inferred turbulence) to repeating FRBs, it is unclear whether their surrounding environments are comparable to those of repeating FRBs. To test this, we analyse the spectro-polarimetric properties of five one-off FRBs and one repeating FRB, detected and localised by the Australian Square Kilometer Array Pathfinder. We search for evidence of depolarisation due to $\sigma_{\rm RM}$ and consider models where the depolarisation is intrinsic to the source. We find no evidence (for or against) the sample showing spectral depolarisation. Under the assumption that FRBs have multipath propagation-induced depolarisation, the correlation between our constraint on $\sigma_{\rm RM}$ and RM is consistent with repeating FRBs only if the values of $\sigma_{\rm RM}$ are much smaller than our upper limits. The observations provide further evidence for differences in the environments and sources of one-off and repeating FRBs.",astro-ph.HE
arXiv:2308.14325,Zhao-Yang Xia et al.,Polarization Evolution of Fast Radio Burst Sources in Binary Systems,"Recently, some fast radio bursts (FRBs) have been reported to exhibit complex and diverse variations in Faraday rotation measurements (RM) and polarization, suggesting that dynamically evolving magnetization environments may surround them. In this paper, we investigate the Faraday conversion (FC) effect in a binary system involving an FRB source and analyze the polarization evolution of FRBs. For an strongly magnetized high-mass companion binary (HMCB), when an FRB with $\sim100\%$ linear polarization passes through the radial magnetic field of the companion star, the circular polarization (CP) component will be induced and oscillate symmetrically around the point with the CP degree equal to zero, the rate and amplitude of the oscillation decrease as the frequency increases. The very strong plasma column density in the HMCBs can cause CP to oscillate with frequency at a very drastic rate, which may lead to depolarization. Near the superior conjunction of the binary orbit, the DM varies significantly due to the dense plasma near the companion, and the significant FC also occurs in this region. As the pulsar moves away from the superior conjunction, the CP gradually tends towards zero and then returns to its value before incidence. We also investigate the effect of the rotation of the companion star. We find that a sufficiently significant RM reversal can be produced at large magnetic inclinations and the RM variation is very diverse. Finally, we apply this model to explain some polarization observations of PSR B1744-24A and FRB 20201124A.",astro-ph.HE
arXiv:2308.12801,Shivani Bhandari et al.,Constraints on the persistent radio source associated with FRB 20190520B using the European VLBI Network,"We present very-long-baseline interferometry (VLBI) observations of a continuum radio source potentially associated with the fast radio burst source FRB 20190520B. Using the European VLBI network (EVN), we find the source to be compact on VLBI scales with an angular size of $<2.3$ mas ($3\sigma$). This corresponds to a transverse physical size of $<9$ pc (at the $z=0.241$ redshift of the host galaxy), confirming it to be an FRB persistent radio source (PRS) like that associated with the first-known repeater FRB 20121102A. The PRS has a flux density of $201 \pm 34 \rm{\mu Jy}$ at 1.7 GHz and a spectral radio luminosity of $L_{1.7 \rm GHz} = (3.0 \pm 0.5) \times 10^{29}\,\mathrm{erg s^{-1} Hz^{-1}}$ (also similar to the FRB 20121102A PRS). Comparing to previous lower-resolution observations, we find that no flux is resolved out on milliarcsecond scales. We have refined the PRS position, improving its precision by an order of magnitude compared to previous results. We also report the detection of a FRB 20190520B burst at 1.4 GHz and find the burst position to be consistent with the PRS position, at $\lesssim20$ mas. This strongly supports their direct physical association and the hypothesis that a single central engine powers both the bursts and the PRS. We discuss the model of a magnetar in a wind nebula and present an allowed parameter space for its age and the radius of the putative nebula powering the observed PRS emission. Alternatively, we find that an accretion-powered 'hypernebula' model also fits our observational constraints.",astro-ph.HE
arXiv:2308.12432,Evan F. Lewis et al.,The Petabyte Project,"Transient radio sources, such as fast radio bursts, intermittent pulsars, and rotating radio transients, can offer a wealth of information regarding extreme emission physics as well as the intervening interstellar and/or intergalactic medium. Vital steps towards understanding these objects include characterizing their source populations and estimating their event rates across observing frequencies. However, previous efforts have been undertaken mostly by individual survey teams at disparate observing frequencies and telescopes, and with non-uniform algorithms for searching and characterization. The Petabyte Project (TPP) aims to address these issues by uniformly reprocessing data from several petabytes of radio transient surveys covering two decades of observing frequency (300 MHz-20 GHz). The TPP will provide robust event rate analyses, in-depth assessment of survey and pipeline completeness, as well as revealing discoveries from archival and ongoing radio surveys. We present an overview of TPP's processing pipeline, scope, and our potential to make new discoveries.",astro-ph.IM
arXiv:2308.12118,Danté M. Hewitt et al.,Dense Forests of Microshots in Bursts from FRB 20220912A,"We report on exceptionally bright bursts (>400 Jy ms) detected from the repeating fast radio burst source FRB 20220912A using the Nan\c{c}ay Radio Telescope (NRT), as part of the ECLAT (Extragalactic Coherent Light from Astrophysical Transients) monitoring campaign. These bursts exhibit extremely luminous, broadband, short-duration structures (~ 16 microseconds), which we term 'microshots' and which can be especially well studied in the NRT data given the excellent signal-to-noise and dynamic range (32-bit samples). The estimated peak flux density of the brightest microshot is 450 Jy. We show that the microshots are clustered into dense 'forests', by modelling them as Weibull distributions and obtaining Weibull shape parameters of approximately 0.5. Our polarimetric analysis reveals that the bursts are nearly 100% linearly polarised; have < 10% circular polarisation fractions; a near-zero average rotation measure of 0.10(6) rad/m^2; and varying polarisation position angles over the burst duration. For one of the bursts, we analyse raw voltage data from simultaneous observations with the Westerbork RT-1 single 25-m dish. These data allow us to measure the scintillation bandwidth, 0.30(3) MHz, and to probe the bursts on (sub-)microsecond timescales. Some important nuances related to dedispersion are also discussed. We propose that the emission mechanism for the broadband microshots is potentially different from the emission mechanism of the broader burst components which still show a residual drift of a few hundred MHz/ms after correcting for dispersion using the microshots. We discuss how the observed emission is phenomenologically analogous to different types of radio bursts from the Sun.",astro-ph.HE
arXiv:2308.11729,Katie Brown et al.,Validating the Sub-Burst Slope Law: A Comprehensive Multi-Source Spectro-Temporal Analysis of Repeating Fast Radio Bursts,"We conduct a comprehensive spectro-temporal analysis of repeating Fast Radio Bursts (FRBs) utilizing nine distinct sources, the largest sample to date. Our data set includes 175 sub-bursts and 31 multi-component bursts from 11 data sets, with centre frequencies ranging from 149-7144 MHz and durations spanning from 73 \mu s-13 ms. Our findings are consistent with the predictions of the Triggered Relativistic Dynamical Model (TRDM) of FRB emission. We affirm the predicted quadratic relationship between sub-burst slope and frequency, as well as a linear dependence of bandwidth on frequency that is consistent with mildly-relativistic Doppler broadening of narrow-band emission. Most importantly, we confirm the sub-burst slope law, a predicted inverse relationship between sub-burst slope and duration, to hold consistently across different sources. Remarkably, we also discover that the drift rates of multi-component bursts follow the same law as the sub-burst slopes, an unexplained result that warrants further investigation. These findings not only support the TRDM as a viable framework for explaining several aspects of FRB emission, but also provide new insights into the complex spectro-temporal properties of FRBs.",astro-ph.HE
arXiv:2308.10930,Aaron B. Pearlman et al.,Multiwavelength Constraints on the Origin of a Nearby Repeating Fast Radio Burst Source in a Globular Cluster,"Since fast radio bursts (FRBs) were discovered, their precise origins have remained a mystery. Multiwavelength observations of nearby FRB sources provide one of the best ways to make rapid progress in our understanding of the enigmatic FRB phenomenon. We present results from a sensitive, broadband multiwavelength X-ray and radio observational campaign of FRB 20200120E, the closest known extragalactic repeating FRB source. At a distance of 3.63 Mpc, FRB 20200120E resides in an exceptional location, within a ~10 Gyr-old globular cluster in the M81 galactic system. We place deep limits on both the persistent X-ray luminosity and prompt X-ray emission at the time of radio bursts from FRB 20200120E, which we use to constrain possible progenitors for the source. We compare our results to various classes of X-ray sources and transients. In particular, we find that FRB 20200120E is unlikely to be associated with: ultraluminous X-ray bursts (ULXBs), similar to those observed from objects of unknown origin in other extragalactic globular clusters; giant flares, like those observed from Galactic and extragalactic magnetars; or most intermediate flares and very bright short X-ray bursts, similar to those seen from magnetars in the Milky Way. We show that FRB 20200120E is also unlikely to be powered by a persistent or transient ultraluminous X-ray (ULX) source or a young, extragalactic pulsar embedded in a Crab-like nebula. We also provide new constraints on the compatibility of FRB 20200120E with accretion-based FRB models involving X-ray binaries and models that require a synchrotron maser process from relativistic shocks to generate FRB emission. These results highlight the power that multiwavelength observations of nearby FRBs can provide for discriminating between potential FRB progenitor models.",astro-ph.HE
arXiv:2308.10830,Anna Tsai et al.,Scintillated microlensing: measuring cosmic distances with fast radio bursts,"We propose a novel means of directly measuring cosmological distances using scintillated microlensing of fast radio bursts (FRBs). In standard strong lensing measurements of cosmic expansion, the main source of systematic uncertainty lies in modeling the mass profile of galactic halos. Using extra-galactic stellar microlensing to measure the Hubble constant avoids this systematic uncertainty as the lens potential of microlenses depends only on a single parameter: the mass of the lens. FRBs, which may achieve nanosecond precision on lensing time delays, are well-suited to precision measurements of stellar microlensing, for which the time delays are on the order of milliseconds. However, typical angular separations between the microlensed images on the order of microarcseconds make the individual images impossible to spatially resolve with ground-based telescopes. We propose leveraging scintillation in the ISM to resolve the microlensed images, effectively turning the ISM into an astrophysical-scale interferometer. Using this technique, we estimate a 6\% uncertainty on $H_0$ from a single observed scintillated microlensing event, with a sub-percent uncertainty on $H_0$ achievable with only 30 such events. With an optical depth for stellar microlensing of $10^{-3}$, this may be achievable in the near future with upcoming FRB telescopes.",astro-ph.IM
arXiv:2308.10258,Xiang-han Cui et al.,Fast radio bursts generated by coherent curvature radiation from compressed bunches for FRB 20190520B,"The radiation mechanism of fast radio bursts (FRBs) has been extensively studied but still remains elusive. Coherent radiation is identified as a crucial component in the FRB mechanism, with charged bunches also playing a significant role under specific circumstances. In the present research, we propose a phenomenological model that draws upon the coherent curvature radiation framework and the magnetized neutron star, taking into account the kinetic energy losses of outflow particles due to inverse Compton scattering (ICS) induced by soft photons within the magnetosphere. By integrating the ICS deceleration mechanism for particles, we hypothesize a potential compression effect on the particle number density within a magnetic tube/family, which could facilitate achieving the necessary size for coherent radiation in the radial direction. This mechanism might potentially enable the dynamic formation of bunches capable of emitting coherent curvature radiation along the curved magnetic field. Moreover, we examine the formation of bunches from an energy perspective. Our discussion suggests that within the given parameter space the formation of bunches is feasible. Finally, we apply this model to FRB 20190520B, one of the most active repeating FRBs discovered and monitored by FAST. Several observed phenomena are explained, including basic characteristics, frequency downward drifting, and bright spots within certain dynamic spectral ranges.",astro-ph.HE
arXiv:2308.08832,Pei Wang et al.,Atypical radio pulsations from magnetar SGR 1935+2154,"Magnetars are neutron stars with extremely strong magnetic fields, frequently powering high-energy activity in X-rays. Pulsed radio emission following some X-ray outbursts have been detected, albeit its physical origin is unclear. It has long been speculated that the origin of magnetars' radio signals is different from those from canonical pulsars, although convincing evidence is still lacking. Five months after magnetar SGR 1935+2154's X-ray outburst and its associated Fast Radio Burst (FRB) 20200428, a radio pulsar phase was discovered. Here we report the discovery of X-ray spectral hardening associated with the emergence of periodic radio pulsations from SGR 1935+2154 and a detailed analysis of the properties of the radio pulses. The complex radio pulse morphology, which contains both narrow-band emission and frequency drifts, has not been seen before in other magnetars, but is similar to those of repeating FRBs - even though the luminosities are many orders of magnitude different. The observations suggest that radio emission originates from the outer magnetosphere of the magnetar, and the surface heating due to the bombardment of inward-going particles from the radio emission region is responsible for the observed X-ray spectral hardening.",astro-ph.HE
